Barangay_key,RMSE,MAE,sMAPE,RMSE_rank,MAE_rank,sMAPE_rank,CompositeScore
barangay 4 a,0.4893431524221129,0.22197932010839858,1.972662431466861,119.0,131.0,45.0,98.33333333333333
barangay 40 d,0.5191089968417086,0.2716199459886302,1.9432606439929077,114.0,118.0,69.0,100.33333333333333
barangay 5 a,1.2940830237985392,0.9159292455999128,1.3531642314438055,43.0,42.0,147.0,77.33333333333333
barangay 6 a,0.4849473228347166,0.22284611214422242,1.9708956790372278,120.0,130.0,48.0,99.33333333333333
barangay 7 a,0.6745132851986351,0.4727872319000414,1.8150366704721497,92.0,81.0,113.0,95.33333333333333
barangay 8 a,0.9921752210749164,0.7406204272977323,1.5129033964857284,51.0,47.0,143.0,80.33333333333333
barangay 9 a,0.9868959766775465,0.6660906991841014,1.6395629908140257,52.0,52.0,131.0,78.33333333333333
bato,1.1844355069782895,0.8441411634668777,1.6115337067002622,45.0,45.0,134.0,74.66666666666667
bayabas,0.5990300907687841,0.27759898196299065,1.9505333626049677,100.0,115.0,65.0,93.33333333333333
biao escuela,0.6084988375846211,0.2852042582112289,1.9560443923893083,99.0,111.0,62.0,90.66666666666667
biao guianga,0.5894895951527533,0.31751294012388653,1.9288502721951124,105.0,99.0,79.0,94.33333333333333
biao joaquin,0.9262689991067693,0.3741841404471287,1.9749704200094715,59.0,90.0,43.0,64.0
binugao,0.8953514628318743,0.6689504494784425,1.547387708890789,61.0,51.0,140.0,84.0
bucana,3.899056480086316,2.651330510690511,0.6295632601710626,3.0,3.0,181.0,62.333333333333336
buda,0.34858451074358177,0.20902012871169534,1.963336690323147,153.0,134.0,55.0,114.0
buhangin,3.67712438396352,2.6127457897684576,0.6216562560048207,4.0,4.0,182.0,63.333333333333336
bunawan,2.3197830475501067,1.7154972812956901,1.2165389894790952,13.0,11.0,161.0,61.666666666666664
cabantian,2.076455883606155,1.5843516159288724,0.7112958912811932,16.0,15.0,178.0,69.66666666666667
cadalian,0.7420436274708347,0.43152012988659605,1.8997901563429662,79.0,85.0,95.0,86.33333333333333
calinan,4.382708366543332,2.8514470961300016,1.0647479513364917,1.0,2.0,165.0,56.0
callawa,0.3573365473730692,0.233701983887346,1.9421840784610223,147.0,128.0,70.0,115.0
camansi,0.223380381278985,0.07760123120811056,1.9922172976565826,171.0,175.0,20.0,122.0
carmen,0.7209458880009303,0.36819730717742305,1.9298522248207863,82.0,93.0,78.0,84.33333333333333
catalunan grande,2.748457545953935,2.004459744303213,0.7184177172011578,8.0,7.0,177.0,64.0
catalunan pequeno,2.7067944679826064,1.8739625150537464,0.9850236434084023,9.0,9.0,169.0,62.333333333333336
catigan,0.5974092230803747,0.31007601432342674,1.9266526843406035,101.0,103.0,81.0,95.0
cawayan,0.8462356440036327,0.34136874683076895,1.9621560302992087,67.0,97.0,56.0,73.33333333333333
centro,0.7067032732450167,0.6071164620193673,1.6067371129890757,87.0,60.0,136.0,94.33333333333333
colosas,0.34070025580657887,0.12921353511249875,1.9899485404864818,154.0,159.0,24.0,112.33333333333333
communal,1.2582616921450818,0.9303972241503733,1.2934685979477223,44.0,41.0,153.0,79.33333333333333
crossing bayabas,1.6297843093011526,1.093932406954896,1.576196643120607,29.0,35.0,139.0,67.66666666666667
dacudao,1.8694768816672929,1.0923820874491081,1.7745020378146723,24.0,36.0,118.0,59.333333333333336
dalag,0.15184783716633476,0.05958674169171171,1.997472431510202,180.0,179.0,5.0,121.33333333333333
dalagdag,0.2266208991558364,0.06697372214818255,1.9961706620844317,170.0,177.0,8.0,118.33333333333333
daliao,1.6252626811124065,1.204830817190071,0.974599663358007,32.0,28.0,170.0,76.66666666666667
daliaon plantation,0.3038126798471046,0.19909884348059587,1.9586004121807365,160.0,139.0,59.0,119.33333333333333
datu salumay,0.49255029358631974,0.17825043296200374,1.989336418606505,118.0,143.0,25.0,95.33333333333333
dominga,0.17387230178001647,0.08656324530527024,1.9922470167852915,177.0,172.0,19.0,122.66666666666667
dumoy,1.5192395837051318,1.101872084792916,1.332240071003528,37.0,34.0,150.0,73.66666666666667
eden,0.6746773309128351,0.36977887887193517,1.9314562526906356,91.0,92.0,77.0,86.66666666666667
fatima,0.339986932933897,0.12044676114708028,1.9909573958249478,155.0,163.0,22.0,113.33333333333333
