ds,actual,arima,prophet,err_arima,err_prophet
2024-01-22,118.0,68.59428446705772,79.4525175737263,49.40571553294228,38.5474824262737
2024-01-29,128.0,68.66745736404911,74.89106249663283,59.33254263595089,53.10893750336717
2024-02-05,139.0,68.73638430975242,73.34353455491299,70.26361569024758,65.65646544508701
2024-02-12,136.0,68.80131168094215,74.58219299280854,67.19868831905785,61.417807007191456
2024-02-19,86.0,68.86247155806413,74.52232439646751,17.13752844193587,11.47767560353249
2024-02-26,137.0,68.92008255479838,69.8605365968074,68.07991744520162,67.1394634031926
2024-03-04,115.0,68.97435059948552,61.515053412961564,46.02564940051448,53.484946587038436
2024-03-11,88.0,69.02546967120978,53.38280901195432,18.974530328790223,34.61719098804568
2024-03-18,108.0,69.07362249317002,48.24500416920351,38.92637750682998,59.75499583079649
2024-03-25,69.0,69.1189811858169,45.56461180543367,-0.11898118581690653,23.43538819456633
2024-04-01,79.0,69.16170788209097,43.27369759660857,9.838292117909035,35.72630240339143
2024-04-08,80.0,69.20195530696073,40.875036176147056,10.798044693039273,39.124963823852944
2024-04-15,81.0,69.23986732333235,39.99163210768826,11.760132676667652,41.00836789231174
2024-04-22,65.0,69.27557944628214,42.00599695496528,-4.275579446282137,22.994003045034717
2024-04-29,93.0,69.30921932745017,46.06866335885847,23.690780672549835,46.93133664114153
2024-05-06,70.0,69.34090721132617,50.08325041607782,0.6590927886738314,19.916749583922183
2024-05-13,68.0,69.37075636505902,53.37943440747104,-1.370756365059023,14.620565592528962
2024-05-20,73.0,69.39887348332586,57.66763328665905,3.6011265166741424,15.332366713340953
2024-05-27,91.0,69.4253590697082,65.08978170688097,21.574640930291807,25.91021829311903
2024-06-03,84.0,69.45030779593822,75.79074147912995,14.549692204061785,8.209258520870051
2024-06-10,103.0,69.4738088402993,87.88426216436135,33.5261911597007,15.115737835638654
2024-06-17,152.0,69.49594620639043,99.57256043555007,82.50405379360957,52.42743956444993
2024-06-24,188.0,69.51679902339393,110.57476784872745,118.48320097660607,77.42523215127255
2024-07-01,194.0,69.53644182891973,121.16927405801687,124.46355817108027,72.83072594198313
2024-07-08,195.0,69.55494483543725,130.40085817737884,125.44505516456275,64.59914182262116
2024-07-15,242.0,69.57237418124724,136.0753116926538,172.42762581875274,105.9246883073462
2024-07-22,266.0,69.58879216689061,136.73111880838047,196.4112078331094,129.26888119161953
2024-07-29,249.0,69.60425747783944,133.09258153041793,179.39574252216056,115.90741846958207
2024-08-05,296.0,69.61882539426593,127.11595981816316,226.3811746057341,168.88404018183684
2024-08-12,330.0,69.63254798863932,119.86016001457659,260.3674520113607,210.1398399854234
2024-08-19,298.0,69.64547431185699,110.96129281925164,228.354525688143,187.03870718074836
2024-08-26,292.0,69.657650568575,100.38564782078996,222.34234943142502,191.61435217921004
