barangay,month,weight,cases_in_window,window_start,window_end,alpha_smooth,scheme,run_id
biao escuela,,0.0011985275233284821,27.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
biao guianga,,0.0011985275233284821,27.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
biao joaquin,,0.00047085009845047513,10.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
binugao,,0.006420683160688297,149.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
bucana,,0.044131495591130894,1030.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
buda,,0.0017977912849927232,41.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
buhangin,,0.042975772622207004,1003.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
bunawan,,0.01044431127471963,243.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
cabantian,,0.029663556202379933,692.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
cadalian,,0.0012841366321376594,29.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
calinan,,0.013569043746254601,316.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
callawa,,0.0018834003938019005,43.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
camansi,,0.00038524098964129786,8.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
carmen,,0.0011557229689238935,26.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
catalunan grande,,0.026966869274890847,629.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
catalunan pequeno,,0.014596353051964729,340.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
catigan,,0.0011985275233284821,27.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
cawayan,,0.0009417001969009503,21.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
centro,,0.007148360585566304,166.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
colosas,,0.00038524098964129786,8.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
communal,,0.008774933652940672,204.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
crossing bayabas,,0.0044088691036726305,102.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
dacudao,,0.003081927917130383,71.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
dalag,,0.0005136546528550637,11.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
dalagdag,,0.00021402277202294323,4.0,2016-12-26,2022-12-26,1.0,static,621b4307-28a6-486e-9716-02435373d348
