run_id,view_mode,queue_type,weeks_to_sum,baseline_weeks,epsilon,ranking_formula_version,model_name,rank,barangay,actual_cases_past_W,past_8w_avg,baseline_expected_W,forecast_cases_next_W,surge_ratio,surge_eligible,baseline_eligible,priority_eligible,baseline_weeks_used,nonzero_weeks_8w,rank_reason
621b4307-28a6-486e-9716-02435373d348,observed,respond_now,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,28,cabantian,3.0,1.0769230769230769,4.3076923076923075,16.593702966116144,3.1263498341957954,True,True,True,26,3,High recent observed burden (past W: 3.00)
621b4307-28a6-486e-9716-02435373d348,observed,respond_now,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,29,crossing bayabas,3.0,1.25,5.0,2.466307944458821,0.41105132407647016,True,True,True,8,6,High recent observed burden (past W: 3.00)
621b4307-28a6-486e-9716-02435373d348,observed,respond_now,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,30,lubogan,3.0,0.625,2.5,4.645279041019526,1.3272225831484359,True,True,True,8,4,High recent observed burden (past W: 3.00)
621b4307-28a6-486e-9716-02435373d348,observed,respond_now,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,31,marilog,3.0,0.75,3.0,4.765002727643741,1.1912506819109352,True,True,True,8,4,High recent observed burden (past W: 3.00)
621b4307-28a6-486e-9716-02435373d348,observed,respond_now,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,32,matina aplaya,3.0,0.75,3.0,10.846966008153842,2.7117415020384605,True,True,True,8,4,High recent observed burden (past W: 3.00)
621b4307-28a6-486e-9716-02435373d348,observed,respond_now,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,33,panacan,3.0,1.0,4.0,13.76822396178468,2.753644792356936,True,True,True,8,4,High recent observed burden (past W: 3.00)
621b4307-28a6-486e-9716-02435373d348,observed,respond_now,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,34,paquibato,3.0,1.375,5.5,1.5324631887899471,0.23576356750614572,False,True,False,8,6,High recent observed burden (past W: 3.00)
621b4307-28a6-486e-9716-02435373d348,observed,respond_now,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,35,talomo,3.0,1.625,6.5,30.194313766626923,4.025908502216923,True,True,True,8,7,High recent observed burden (past W: 3.00)
621b4307-28a6-486e-9716-02435373d348,observed,respond_now,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,36,tigatto,3.0,1.6923076923076923,6.769230769230769,9.242668607389366,1.1896504148124927,True,True,True,26,3,High recent observed burden (past W: 3.00)
621b4307-28a6-486e-9716-02435373d348,observed,respond_now,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,37,vicente hizon sr,3.0,0.38461538461538464,1.5384615384615385,0.7422868570701306,0.29241603460338483,False,True,False,26,3,High recent observed burden (past W: 3.00)
621b4307-28a6-486e-9716-02435373d348,observed,respond_now,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,38,barangay 10 a,2.0,0.3076923076923077,1.2307692307692308,2.3944737324842915,1.0733847766308893,True,True,True,26,3,High recent observed burden (past W: 2.00)
621b4307-28a6-486e-9716-02435373d348,observed,respond_now,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,39,barangay 31 d,2.0,0.5,2.0,3.6874895480258094,1.2291631826752698,True,True,True,8,4,High recent observed burden (past W: 2.00)
621b4307-28a6-486e-9716-02435373d348,observed,respond_now,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,40,bato,2.0,0.6923076923076923,2.769230769230769,2.5141974191085064,0.6670319683349099,True,True,True,26,2,High recent observed burden (past W: 2.00)
621b4307-28a6-486e-9716-02435373d348,observed,respond_now,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,41,bayabas,2.0,0.19230769230769232,0.7692307692307693,0.6943973824204448,0.39248547702025144,False,False,False,26,3,High recent observed burden (past W: 2.00)
621b4307-28a6-486e-9716-02435373d348,observed,respond_now,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,42,binugao,2.0,0.3076923076923077,1.2307692307692308,3.5917105987264377,1.6100771649463341,True,True,True,26,2,High recent observed burden (past W: 2.00)
621b4307-28a6-486e-9716-02435373d348,observed,respond_now,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,43,carmen,2.0,0.34615384615384615,1.3846153846153846,0.6465079077707588,0.27111621938773756,False,True,False,26,2,High recent observed burden (past W: 2.00)
621b4307-28a6-486e-9716-02435373d348,observed,respond_now,4,8,1.0,v3_adaptive_baseline_8w_or_26w,preferred,44,catalunan pequeno,2.0,1.0,4.0,8.165155427771435,1.6330310855542869,True,True,True,8,5,High recent observed burden (past W: 2.00)
