Barangay_key,RMSE,MAE,sMAPE,RMSE_rank,MAE_rank,sMAPE_rank,CompositeScore
barangay 9 a,1.01145286046048,0.7820662004851304,1.465520890556866,55.0,54.0,133.0,80.66666666666667
bato,1.1179079869575028,0.8495080638446777,1.42727487331193,50.0,51.0,135.0,78.66666666666667
bayabas,0.6022353299012881,0.28581850416916094,1.9491043903746288,100.0,134.0,48.0,94.0
biao escuela,0.595516450164491,0.3392289171416363,1.926194379322238,101.0,116.0,58.0,91.66666666666667
biao guianga,0.5712187410631591,0.38402675707455525,1.867584301994158,107.0,105.0,88.0,100.0
biao joaquin,0.8930983797569217,0.4277989723758568,1.9147180172724105,66.0,96.0,64.0,75.33333333333333
binugao,1.1935688947388545,1.0493460985696366,1.3445723702065204,46.0,39.0,140.0,75.0
bucana,3.7446744724831356,2.665302078895697,0.6223357231994012,2.0,2.0,181.0,61.666666666666664
buda,0.5235416753261936,0.49039436364301303,1.9039646339051781,114.0,86.0,74.0,91.33333333333333
buhangin,3.511407862014507,2.519437299735733,0.5708121745059107,4.0,3.0,182.0,63.0
bunawan,2.090153812630611,1.6887819168912108,0.8519804477602325,17.0,15.0,169.0,67.0
cabantian,2.458937211908433,2.052283916884641,0.7694689429274845,11.0,11.0,173.0,65.0
cadalian,0.715467869192027,0.4600303450646376,1.8426439965781467,86.0,89.0,92.0,89.0
calinan,3.6459982630349748,2.3728230729527566,0.7616791994524555,3.0,5.0,174.0,60.666666666666664
callawa,0.3746850590525932,0.30548398489570605,1.9113575914276217,146.0,125.0,69.0,113.33333333333333
camansi,0.2257537168940746,0.14052187918510717,1.9771439569569138,171.0,169.0,23.0,121.0
carmen,0.7097030982574598,0.5723769125247686,1.705074234611397,88.0,77.0,111.0,92.0
catalunan grande,2.6170881472917693,2.109225957473491,0.6646183277259887,10.0,9.0,180.0,66.33333333333333
catalunan pequeno,2.417418889859459,1.9034278170558672,0.8609876605377396,12.0,14.0,167.0,64.33333333333333
catigan,0.5729632163639715,0.37065596192402545,1.8564236662531732,105.0,108.0,90.0,101.0
cawayan,0.8222736952654349,0.445886877225759,1.8827567448588172,69.0,93.0,83.0,81.66666666666667
centro,0.6869221827922692,0.5740324746929238,1.6566818226550346,89.0,76.0,120.0,95.0
colosas,0.32828473785770806,0.18411887490512277,1.961705552110738,157.0,157.0,34.0,116.0
communal,1.4904234457366512,1.2723542471728113,1.0986624377356575,39.0,28.0,155.0,74.0
crossing bayabas,1.5231691473249838,1.0365823731202477,1.325264567068704,36.0,41.0,142.0,73.0
dacudao,1.712880093129036,1.13235685000273,1.4532762919250954,26.0,36.0,134.0,65.33333333333333
dalag,0.21319539086974212,0.18274008240104994,1.987576550280961,174.0,159.0,14.0,115.66666666666667
dalagdag,0.2246705065586841,0.11257641346836333,1.9863327461187597,172.0,176.0,15.0,121.0
daliao,1.6271399856414093,1.3224913705040215,0.923304459834544,31.0,26.0,163.0,73.33333333333333
daliaon plantation,0.37830464063582697,0.3471257318148174,1.9179611013819058,144.0,113.0,60.0,105.66666666666667
datu salumay,0.48089647331876684,0.28853814162818087,1.943065813535636,123.0,130.0,54.0,102.33333333333333
dominga,0.18685147746130568,0.12447061312309,1.9888559767789191,179.0,173.0,10.0,120.66666666666667
dumoy,1.5226175302534237,1.2070751913186724,1.1639332158418516,37.0,31.0,147.0,71.66666666666667
eden,0.6736226068001919,0.4456383471843591,1.891031333692028,92.0,94.0,78.0,88.0
fatima,0.339543864622016,0.11858897664828956,1.9901704435686591,154.0,174.0,9.0,112.33333333333333
gatungan,0.621999081433208,0.3222738139946773,1.94426928267701,98.0,121.0,51.0,90.0
gov paciano bangoy,0.5809665335389066,0.4803146143123769,1.724930626176798,102.0,87.0,108.0,99.0
gov vicente duterte,0.44134047132390736,0.3621537278788394,1.8681632454049277,131.0,109.0,87.0,109.0
gumalang,1.8810623256742554,1.0489147471755664,1.5192723533577466,21.0,40.0,128.0,63.0
gumitan,0.4246444682008592,0.19771871003400807,1.9835011230081776,134.0,153.0,19.0,102.0
ilang,2.313881645614934,1.9929869974707253,1.1008496361514344,13.0,12.0,154.0,59.666666666666664
