barangay,weight,cases_in_window,window_start,window_end,alpha_smooth,run_id
buhangin,0.04186182669789227,285.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
bunawan,0.015515222482435597,105.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
cabantian,0.01668618266978923,113.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
cadalian,0.004391100702576112,29.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
calinan,0.04156908665105386,283.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
callawa,0.0013173302107728337,8.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
camansi,0.0007318501170960188,4.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
carmen,0.0032201405152224825,21.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
catalunan grande,0.023126463700234193,157.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
catalunan pequeno,0.015807962529274005,107.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
catigan,0.0027810304449648712,18.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
cawayan,0.0019028103044496487,12.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
centro,0.003659250585480094,24.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
colosas,0.0019028103044496487,12.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
communal,0.006440281030444965,43.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
crossing bayabas,0.008343091334894614,56.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
dacudao,0.00585480093676815,39.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
dalag,0.00043911007025761124,2.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
dalagdag,0.00043911007025761124,2.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
daliao,0.011416861826697893,77.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
daliaon plantation,0.00043911007025761124,2.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
datu salumay,0.0007318501170960188,4.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
dominga,0.0002927400468384075,1.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
dumoy,0.008343091334894614,56.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
eden,0.0007318501170960188,4.0,2024-07-15,2025-07-07,1.0,19956bd7-9ef5-449c-bcef-a498082c348c
