Barangay_key,train_weeks,nonzero_weeks,total_cases,eligible_local,eligibility_reason,run_id
catalunan pequeno,446,292,674.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
catigan,446,55,62.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
cawayan,446,46,60.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
centro,446,155,221.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
colosas,446,21,22.0,False,too_few_total_cases,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
communal,446,212,345.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
crossing bayabas,446,160,255.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
dacudao,446,117,213.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
dalag,446,13,14.0,False,too_sparse_nonzero_weeks+too_few_total_cases,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
dalagdag,446,11,11.0,False,too_sparse_nonzero_weeks+too_few_total_cases,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
daliao,446,262,584.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
daliaon plantation,446,45,51.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
datu salumay,446,22,28.0,False,too_few_total_cases,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
dominga,446,19,22.0,False,too_sparse_nonzero_weeks+too_few_total_cases,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
dumoy,446,211,397.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
eden,446,57,77.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
fatima,446,19,22.0,False,too_sparse_nonzero_weeks+too_few_total_cases,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
gatungan,446,29,41.0,False,too_few_total_cases,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
gov paciano bangoy,446,122,152.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
gov vicente duterte,446,106,131.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
gumalang,446,112,194.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
gumitan,446,14,18.0,False,too_sparse_nonzero_weeks+too_few_total_cases,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
ilang,446,209,403.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
inayangan,446,52,62.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
indangan,446,267,547.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
kap tomas monteverde sr,446,106,143.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
kilate,446,25,27.0,False,too_few_total_cases,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
lacson,446,93,132.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
lamanan,446,61,79.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
lampianao,446,17,22.0,False,too_sparse_nonzero_weeks+too_few_total_cases,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
langub,446,56,63.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
lapu lapu,446,137,189.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
leon garcia sr,446,151,217.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
lizada,446,220,426.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
los amigos,446,165,267.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
lubogan,446,207,388.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
lumiad,446,33,48.0,False,too_few_total_cases,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
ma a,446,376,1197.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
mabuhay,446,23,24.0,False,too_few_total_cases,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
magsaysay,446,23,27.0,False,too_few_total_cases,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
magtuod,446,53,62.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
mahayag,446,61,75.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
malabog,446,82,119.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
malagos,446,155,271.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
malamba,446,36,41.0,False,too_few_total_cases,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
manambulan,446,39,43.0,False,too_few_total_cases,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
mandug,446,199,343.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
manuel guianga,446,77,92.0,True,ok,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
mapula,446,14,14.0,False,too_sparse_nonzero_weeks+too_few_total_cases,c57d2000-cc98-4dfd-9dc2-a3e5d21e1b47
