Barangay_key,RMSE,MAE,sMAPE,RMSE_rank,MAE_rank,sMAPE_rank,CompositeScore
mandug,1.6358677346861656,1.467626234591258,1.3357335938318307,28.0,22.0,140.0,63.333333333333336
manuel guianga,0.6807484955864945,0.6086483209764323,1.7645838761186317,92.0,80.0,95.0,89.0
mapula,0.3471986495929739,0.18273850969814595,1.965198125314346,151.0,161.0,34.0,115.33333333333333
marapangi,0.8565504710643236,0.7780698223250891,1.7202163321845467,67.0,54.0,102.0,74.33333333333333
marilog,1.6694431609594131,1.392064842386514,1.085536863176088,27.0,25.0,154.0,68.66666666666667
matina aplaya,2.004741770317263,1.586152022031014,0.9118225667873876,18.0,19.0,163.0,66.66666666666667
matina biao,0.6463970285026975,0.41794527854489316,1.8423984635251285,101.0,106.0,82.0,96.33333333333333
matina crossing,2.9590334479011964,2.241343456978159,0.668988163454621,6.0,9.0,180.0,65.0
matina pangi,1.262947202814891,1.0083159119864082,1.0808552211721354,43.0,43.0,155.0,80.33333333333333
megkawayan,0.24268670231072942,0.1574737905689669,1.979113373902969,164.0,165.0,22.0,117.0
mintal,2.0678266279285045,1.8364811641489323,1.0891836560651575,16.0,14.0,153.0,61.0
mudiang,0.6909937685603379,0.424677152443799,1.8482906121789366,91.0,105.0,79.0,91.66666666666667
mulig,0.8962903662077641,0.7601446852887482,1.5572609767978824,63.0,57.0,124.0,81.33333333333333
new carmen,0.5886279224360669,0.3115974827840024,1.9541454627173647,110.0,131.0,41.0,94.0
new valencia,0.4393050308850625,0.24093220077701022,1.960502121143814,133.0,141.0,37.0,103.66666666666667
pampanga,0.930377915679696,0.786024054689662,1.3496467409742736,59.0,53.0,139.0,83.66666666666667
panacan,2.6006125049011994,2.0601078142014977,0.7608464584978141,12.0,11.0,175.0,66.0
panalum,0.3738859236010668,0.24002150295055993,1.9523978989098159,143.0,142.0,45.0,110.0
pandaitan,0.3559501331695166,0.31007002049131377,1.890026074444684,147.0,132.0,68.0,115.66666666666667
pangyan,0.8808838170434798,0.4406102127764798,1.89007712138537,66.0,104.0,67.0,79.0
paquibato,1.2531487576278153,0.8589440187404385,1.703353483786421,44.0,46.0,105.0,65.0
paradise embak,0.5466169864668882,0.3325038405909621,1.9212962466064358,117.0,126.0,55.0,99.33333333333333
rafael castillo,0.6765523350883307,0.589130449527661,1.7019663927057946,93.0,83.0,106.0,94.0
riverside,0.7928140976082022,0.6833427115613688,1.6210258874235943,77.0,66.0,115.0,86.0
salapawan,0.23594719333716474,0.07741675863822418,1.995051035163846,167.0,181.0,4.0,117.33333333333333
salaysay,0.4776821334669583,0.40355071863596836,1.824655249358443,126.0,112.0,85.0,107.66666666666667
saloy,0.5295207012578238,0.4066183202625403,1.9170498316444433,120.0,110.0,57.0,95.66666666666667
san antonio,0.5985047022363714,0.5603769387241617,1.8052465451231525,107.0,90.0,91.0,96.0
san isidro,0.2135997195023452,0.16087175191543787,1.980677349615699,172.0,164.0,19.0,118.33333333333333
santo nino,1.5498444473848383,1.3360024029299598,1.0492969759508433,32.0,27.0,156.0,71.66666666666667
sasa,2.8033934258606217,2.1156996111871043,0.9012066810265925,9.0,10.0,165.0,61.333333333333336
sibulan,0.3575761131100672,0.13349831988350466,1.987846918991742,146.0,169.0,11.0,108.66666666666667
sirawan,0.8502361695973304,0.7572996925101303,1.461958861762826,70.0,58.0,129.0,85.66666666666667
sirib,1.7096481968628046,1.201303869496759,1.6091154866343247,25.0,37.0,117.0,59.666666666666664
suawan,0.4036214509796503,0.3285136088316911,1.923072607725873,141.0,127.0,54.0,107.33333333333333
subasta,1.0708659204570865,0.6438331182866912,1.8063977293732534,48.0,72.0,89.0,69.66666666666667
sumimao,0.7710531693674226,0.4169444890225517,1.9050114772291165,81.0,107.0,63.0,83.66666666666667
tacunan,1.9723804221259251,1.717088053580524,1.0892109368810843,19.0,16.0,152.0,62.333333333333336
tagakpan,0.7402778630061728,0.6598059840945674,1.6682729135553704,85.0,71.0,111.0,89.0
tagluno,0.23397603706774317,0.11693639334088718,1.98589169467872,169.0,174.0,14.0,119.0
tagurano,0.5435757571501383,0.3490605327346846,1.9161284023333212,118.0,123.0,58.0,99.66666666666667
talandang,0.5751279133473771,0.5662377559983518,1.8357098114147044,113.0,89.0,84.0,95.33333333333333
talomo,4.674521806808529,3.7185531637719387,0.7079103939120793,2.0,2.0,178.0,60.666666666666664
talomo river,1.1326029693610375,1.0285069294885125,1.2675757620747918,46.0,41.0,143.0,76.66666666666667
tamayong,1.0449227726945411,0.7412434669046541,1.6862932241391624,50.0,60.0,110.0,73.33333333333333
tambobong,0.7811394734758451,0.6416033994977806,1.6446193696883418,79.0,73.0,113.0,88.33333333333333
tamugan,0.8511116345398007,0.7210399782151466,1.4137453477226312,69.0,63.0,133.0,88.33333333333333
tapak,0.23454553365590267,0.11720321477689341,1.9863621319285352,168.0,173.0,13.0,118.0
tawan tawan,1.040947827613349,0.8039437239734016,1.5947727672697007,51.0,51.0,121.0,74.33333333333333
tibuloy,0.43577434851559305,0.39411361709253245,1.899453241237687,137.0,114.0,66.0,105.66666666666667
tibungco,2.8785529206080294,2.4671050807061814,0.8028188962271403,7.0,6.0,174.0,62.333333333333336
tigatto,1.6227372613692699,1.2031609956867968,0.7052491248925854,29.0,36.0,179.0,81.33333333333333
toril,2.817562918539748,1.9240546265396388,0.8170344412454995,8.0,13.0,172.0,64.33333333333333
tugbok,1.9337934547044673,1.4308400703719508,0.8840720595618328,20.0,23.0,167.0,70.0
tungakalan,0.27076891637071376,0.17189276116308091,1.9705591590107938,161.0,162.0,28.0,117.0
ubalde,0.2845945120881784,0.2265354269969046,1.95223681768927,158.0,146.0,46.0,116.66666666666667
ula,0.728206537623841,0.6260551142521839,1.5240539454353714,87.0,78.0,125.0,96.66666666666667
vicente hizon sr,0.8849628143277145,0.6615316790007723,1.5894255379338849,64.0,70.0,122.0,85.33333333333333
