barangay,month,weight,cases_in_window,window_start,window_end,alpha_smooth,scheme,run_id
buhangin,,0.03797656134104732,255.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
bunawan,,0.019581664441477527,131.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
cabantian,,0.022400237353508382,150.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
cadalian,,0.0020768431983385254,13.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
calinan,,0.020768431983385256,139.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
callawa,,0.0007417297136923305,4.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
camansi,,0.0004450378282153983,2.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
carmen,,0.0017801513128615932,11.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
catalunan grande,,0.02892745883400089,194.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
catalunan pequeno,,0.022548583296246847,151.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
catigan,,0.0023735350838154576,15.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
cawayan,,0.0037086485684616525,24.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
centro,,0.003115264797507788,20.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
colosas,,0.0004450378282153983,2.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
communal,,0.008307372793354102,55.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
crossing bayabas,,0.0075656430796617715,50.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
dacudao,,0.014241210502892745,95.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
dalag,,0.0002966918854769322,1.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
dalagdag,,0.0007417297136923305,4.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
daliao,,0.012757751075508085,85.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
daliaon plantation,,0.0010384215991692627,6.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
datu salumay,,0.0010384215991692627,6.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
dominga,,0.0004450378282153983,2.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
dumoy,,0.010087524106215695,67.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
eden,,0.0010384215991692627,6.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
fatima,,0.0004450378282153983,2.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
gatungan,,0.001631805370123127,10.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
gov paciano bangoy,,0.0025218810265539237,16.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
gov vicente duterte,,0.0023735350838154576,15.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
gumalang,,0.010680907877169559,71.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
gumitan,,0.0007417297136923305,4.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
ilang,,0.010680907877169559,71.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
inayangan,,0.0023735350838154576,15.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
indangan,,0.014389556445631212,96.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
kap tomas monteverde sr,,0.0010384215991692627,6.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
kilate,,0.0008900756564307966,5.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
lacson,,0.0035603026257231864,23.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
lamanan,,0.0037086485684616525,24.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
lampianao,,0.0013351134846461949,8.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
langub,,0.0020768431983385254,13.0,2023-07-17,2024-07-08,1.0,rolling,fcc6965d-6047-40ee-b3ef-35556bc1df59
